  TOF,Distancia,Temp,Humed
0.00239025,1,22.28,45.13
0.00238973,1,22.28,45.14
0.00238960,1,22.28,45.15
0.00238904,1,22.28,45.16
0.00238916,1,22.28,45.18
0.00238898,1,22.28,45.23
0.00238838,1,22.29,45.26
0.00238895,1,22.29,45.26
0.00239022,1,22.29,45.27
0.00239110,1,22.29,45.27
0.00238916,1,22.29,45.25
0.00238788,1,22.29,45.22
0.00238799,1,22.29,45.20
0.00238815,1,22.30,45.18
0.00238731,1,22.30,45.15
0.00238853,1,22.30,45.14
0.00238787,1,22.29,45.14
0.00238653,1,22.29,45.14
0.00238605,1,22.29,45.13
0.00238593,1,22.30,45.13
0.00238482,1,22.30,45.12
0.00238784,1,22.29,45.11
0.00238875,1,22.30,45.13
0.00239023,1,22.30,45.12
0.00238802,1,22.30,45.12
0.00238583,1,22.30,45.13
0.00238675,1,22.30,45.14
0.00238779,1,22.30,45.17
0.00239089,1,22.30,45.17
0.00239149,1,22.30,45.17
0.00239070,1,22.30,45.17
0.00239130,1,22.30,45.16
0.00238913,1,22.30,45.17
0.00238989,1,22.30,45.17
0.00238865,1,22.30,45.17
0.00238613,1,22.31,45.19
0.00238761,1,22.31,45.23
0.00238748,1,22.30,45.29
0.00238845,1,22.31,45.30
0.00238976,1,22.30,45.31
0.00238990,1,22.31,45.31
0.00238872,1,22.31,45.30
0.00238825,1,22.31,45.31
0.00238704,1,22.32,45.29
0.00239024,1,22.32,45.29
0.00238829,1,22.32,45.30
0.00239091,1,22.33,45.31
0.00238879,1,22.32,45.34
0.00239047,1,22.33,45.38
0.00239097,1,22.33,45.45
0.00238794,1,22.34,45.56
0.00238763,1,22.34,45.66
0.00238929,1,22.34,45.73
0.00238668,1,22.35,45.82
0.00238942,1,22.35,45.99
0.00239108,1,22.35,46.19
0.00238954,1,22.35,46.37
0.00238944,1,22.36,46.52
0.00238938,1,22.36,46.65
0.00238898,1,22.37,46.75
0.00239030,1,22.37,46.84
0.00238962,1,22.38,46.89
0.00238738,1,22.38,46.92
0.00239090,1,22.38,46.92
0.00239134,1,22.39,46.92
